"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","motorizados","mulheres.ciclistas","calcada","ciclistas","mulheres.pedestres","fora.da.faixa","cachorro","pedestres","sustentaveis"
"19:00","19:15","bobs",0,0,116,116,64,180,"0","0",29,"64","0","0",198,227
"19:00","19:15","burrinhos",7,5,445,433,262,707,"1","0",7,"25","4","0",62,69
"19:00","19:15","jackson",1,2,122,119,49,171,"0","0",18,"66","0","0",200,218
"19:15","19:30","bobs",0,1,145,144,53,198,"1","0",25,"52","0","0",154,179
"19:15","19:30","burrinhos",0,4,322,318,178,500,"0","0",7,"4","0","0",32,39
"19:15","19:30","jackson",1,2,104,101,43,147,"0","1",21,"63","0","0",176,197
"19:30","19:45","bobs",0,1,155,154,38,193,"1","0",16,"39","0","0",132,148
"19:30","19:45","burrinhos",4,1,298,293,137,435,"0","0",3,"11","1","0",38,41
"19:30","19:45","jackson",1,1,81,79,36,117,"0","0",28,"63","0","0",171,199
"19:45","20:00","bobs",0,0,148,148,34,182,"2","0",17,"22","0","0",100,117
"19:45","20:00","burrinhos",2,1,254,251,154,408,"1","0",6,"9","5","0",42,48
"19:45","20:00","jackson",1,0,74,73,48,122,"2","0",25,"40","0","0",124,149
"20:00","20:15","bobs",0,0,109,109,49,158,"3","0",36,"14","0","0",66,102
"20:00","20:15","burrinhos",1,1,298,296,172,470,"0","0",1,"6","3","1",31,32
"20:00","20:15","jackson",1,1,107,105,45,152,"1","0",21,"25","0","0",91,112
"20:15","20:30","bobs",0,0,107,107,53,160,"0","0",4,"9","0","0",54,58
"20:15","20:30","burrinhos",1,1,235,233,109,344,"1","3",4,"5","0","1",23,27
"20:15","20:30","jackson",0,2,68,66,17,85,"0","0",7,"23","0","0",80,87
"20:30","20:45","bobs",0,1,106,105,39,145,"2","0",8,"15","0","0",52,60
"20:30","20:45","burrinhos",0,0,221,221,113,334,"0","0",0,"4","1","0",23,23
"20:30","20:45","jackson",1,3,69,65,32,101,"0","0",6,"24","0","0",64,70
"20:45","21:00","bobs",0,2,75,73,32,107,"0","0",1,"11","0","0",39,40
"20:45","21:00","burrinhos",0,1,280,279,131,411,"11","1",100,"7","9","0",32,132
"20:45","21:00","jackson",0,1,89,88,15,104,"0","0",6,"17","0","0",54,60
